State,State Code,Deaths
Alabama,1.0,2515.0
Alaska,2.0,258.0
Arizona,4.0,2696.0
Arkansas,5.0,1491.0
California,6.0,16561.0
Colorado,8.0,1924.0
Connecticut,9.0,1317.0
Delaware,10.0,391.0
District of Columbia,11.0,322.0
Florida,12.0,8694.0
Georgia,13.0,4815.0
Hawaii,15.0,591.0
Idaho,16.0,618.0
Illinois,17.0,5698.0
Indiana,18.0,3159.0
Iowa,19.0,1245.0
Kansas,20.0,1231.0
Kentucky,21.0,2294.0
Louisiana,22.0,2464.0
Maine,23.0,525.0
Maryland,24.0,2688.0
Massachusetts,25.0,2600.0
Michigan,26.0,4677.0
Minnesota,27.0,2124.0
Mississippi,28.0,1766.0
Missouri,29.0,2778.0
Montana,30.0,345.0
Nebraska,31.0,721.0
Nevada,32.0,1107.0
New Hampshire,33.0,490.0
New Jersey,34.0,3710.0
New Mexico,35.0,815.0
New York,36.0,8563.0
North Carolina,37.0,4317.0
North Dakota,38.0,211.0
Ohio,39.0,5441.0
Oklahoma,40.0,1968.0
Oregon,41.0,1637.0
Pennsylvania,42.0,5319.0
Rhode Island,44.0,428.0
South Carolina,45.0,2256.0
South Dakota,46.0,333.0
Tennessee,47.0,3310.0
Texas,48.0,11886.0
Utah,49.0,1114.0
Vermont,50.0,254.0
Virginia,51.0,3504.0
Washington,53.0,2842.0
West Virginia,54.0,957.0
Wisconsin,55.0,2221.0
Wyoming,56.0,194.0
,,139385.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
