State,State Code,Deaths,Population,Age-Adjusted-Rate
Alabama,1.0,2454.0,28997566.0,9.1
Alaska,2.0,255.0,4705451.0,5.8
Arizona,4.0,2629.0,39573555.0,7.1
Arkansas,5.0,1451.0,17479414.0,8.9
California,6.0,16168.0,249898634.0,6.8
Colorado,8.0,1885.0,34061590.0,5.8
Connecticut,9.0,1282.0,20581295.0,6.4
Delaware,10.0,384.0,5382220.0,7.6
District of Columbia,11.0,315.0,5328135.0,6.7
Florida,12.0,8495.0,110596457.0,8.0
Georgia,13.0,4685.0,62876539.0,7.8
Hawaii,15.0,582.0,8626876.0,7.2
Idaho,16.0,607.0,9552955.0,6.8
Illinois,17.0,5517.0,81334472.0,7.2
Indiana,18.0,3092.0,39778263.0,8.3
Iowa,19.0,1215.0,18190268.0,7.2
Kansas,20.0,1197.0,17494312.0,7.4
Kentucky,21.0,2243.0,26621315.0,9.0
Louisiana,22.0,2372.0,28968702.0,8.9
Maine,23.0,515.0,7245237.0,7.3
Maryland,24.0,2622.0,35950945.0,7.6
Massachusetts,25.0,2550.0,42061649.0,6.4
Michigan,26.0,4571.0,59704901.0,8.2
Minnesota,27.0,2077.0,32937615.0,6.6
Mississippi,28.0,1706.0,18149561.0,10.2
Missouri,29.0,2726.0,36178526.0,8.0
Montana,30.0,336.0,5763837.0,6.2
Nebraska,31.0,703.0,11303444.0,6.7
Nevada,32.0,1094.0,17086433.0,6.6
New Hampshire,33.0,483.0,7543351.0,6.6
New Jersey,34.0,3608.0,53183792.0,6.9
New Mexico,35.0,794.0,12231224.0,7.0
New York,36.0,8362.0,125770212.0,7.0
North Carolina,37.0,4213.0,59062909.0,7.6
North Dakota,38.0,205.0,4554309.0,5.1
Ohio,39.0,5317.0,68952169.0,8.2
Oklahoma,40.0,1921.0,23336136.0,9.0
Oregon,41.0,1601.0,24057977.0,7.0
Pennsylvania,42.0,5185.0,74152178.0,7.4
Rhode Island,44.0,421.0,6635725.0,6.8
South Carolina,45.0,2187.0,28154348.0,8.4
South Dakota,46.0,325.0,4873860.0,7.2
Tennessee,47.0,3231.0,39350613.0,8.7
Texas,48.0,11564.0,168007785.0,7.3
Utah,49.0,1098.0,19487909.0,6.4
Vermont,50.0,252.0,3578475.0,7.5
Virginia,51.0,3420.0,51120481.0,7.0
Washington,53.0,2790.0,43894632.0,6.7
West Virginia,54.0,939.0,10480451.0,9.5
Wisconsin,55.0,2175.0,34012129.0,6.8
Wyoming,56.0,191.0,3354526.0,6.1
,,136010.0,1942225358.0,7.4
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
